                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7333,                 2.3833,                 1.5587,                0.24381,                0.26481,                0.16511,                0.04958,                 2.4761,                 2.1883,                 1.4479,             0.00066272,             0.00066272,             0.00066272
                      2,                 2.4358,                 1.9012,                  1.388,                 0.2691,                 0.2938,                0.20055,                0.07516,                 2.3536,                 2.0674,                 1.4352,              0.0013162,              0.0013162,              0.0013162
                      3,                 2.3805,                 1.8531,                 1.3749,                0.31089,                0.35081,                0.25062,                0.09054,                 2.3148,                 2.1026,                 1.4288,              0.0019565,              0.0019565,              0.0019565
                      4,                 2.3505,                 1.8125,                 1.3597,                0.41797,                0.40728,                0.35793,                0.12817,                 2.2391,                 1.8182,                 1.3653,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.3033,                  1.749,                 1.3343,                0.42827,                 0.4184,                0.35512,                 0.1391,                 2.2069,                 1.7688,                 1.3733,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.2826,                 1.7285,                 1.3255,                0.40334,                0.38482,                0.32129,                0.11011,                 2.2994,                 1.8574,                 1.4439,               0.001901,               0.001901,               0.001901
                      7,                 2.2617,                 1.6863,                 1.3164,                0.44069,                0.39344,                0.36133,                0.13333,                 2.2195,                 1.7985,                 1.3686,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.2471,                 1.6731,                 1.3212,                0.43356,                 0.3945,                0.36137,                0.13821,                 2.2377,                 1.8325,                 1.3553,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.2555,                 1.6681,                 1.3094,                0.36391,                0.40767,                0.31232,                0.12782,                 2.2093,                 1.8911,                 1.3511,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.2266,                 1.6357,                 1.3043,                0.46734,                0.45441,                0.40906,                0.15884,                 2.1869,                    1.7,                 1.3793,              0.0018218,              0.0018218,              0.0018218
